User agent|Software|Software Type|Hardware Type|Popularity
Mozilla/5.0 (X11; CrOS x86_64 12239.92.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.136 Safari/537.36|Chrome 76|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 10452.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Safari/537.36|Chrome 66|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS aarch64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36|Chrome 85|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 8350.68.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36|Chrome 52|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 9765.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.123 Safari/537.36|Chrome 61|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 12371.75.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.105 Safari/537.36|Chrome 77|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 9000.91.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.110 Safari/537.36|Chrome 56|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS armv7l 10575.58.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36|Chrome 67|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS aarch64 12871.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.103 Safari/537.36|Chrome 81|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 9901.66.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.82 Safari/537.36|Chrome 62|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 10032.75.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.116 Safari/537.36|Chrome 63|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 9202.64.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.146 Safari/537.36|Chrome 57|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 12371.75.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.105 Safari/537.36|Chrome 77|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS aarch64 12105.100.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.144 Safari/537.36|Chrome 75|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 11316.148.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.117 Safari/537.36|Chrome 72|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 8872.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.105 Safari/537.36|Chrome 55|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS aarch64 12239.92.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.136 Safari/537.36|Chrome 76|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 8743.83.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.93 Safari/537.36|Chrome 54|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 8530.96.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.154 Safari/537.36|Chrome 53|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 10452.96.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36|Chrome 66|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 10575.55.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36|Chrome 67|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS aarch64 12739.105.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.158 Safari/537.36|Chrome 80|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 12371.75.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.105 Safari/537.36|Chrome 77|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS aarch64 12871.91.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.127 Safari/537.36|Chrome 81|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 8743.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.101 Safari/537.36|Chrome 54|Web Browser|Computer|Common
